time/time_elapsed,time/fps,time/episodes,rollout/ep_rew_mean,rollout/exploration_rate,time/total_timesteps,rollout/ep_len_mean,train/loss,env/wind_speed,env/energy,train/learning_rate,env/voltage,env/concentration,train/n_updates,env/aqi
19,1691,208,1.5337520359511194,0.01,33280,1.699,0.008670182898640633,2.2840999999999996,191.19852,0.0001,2.2840999999999996,13.059276162650633,8069,52.45380541080423
20,1679,212,1.5109815083195102,0.01,33920,1.699,0.00765763595700264,,,0.0001,,,8229,
20,1647,216,1.5998518684184422,0.01,34560,1.699,0.05796046555042267,2.2906999999999997,191.2662,0.0001,2.2906999999999997,12.918293005684998,8389,52.29221858250063
22,1558,220,1.632223152822862,0.01,35200,1.699,0.04831357300281525,2.3216,196.59240000000003,0.0001,2.3216,12.755835184307426,8549,51.69369825385054
23,1511,224,1.5485329676432034,0.01,35840,1.699,0.26888689398765564,,,0.0001,,,8709,
25,1438,228,1.5690928637482813,0.01,36480,1.699,0.018353085964918137,2.2953999999999994,192.54023999999998,0.0001,2.2953999999999994,12.920588443612196,8869,52.11977169454261
26,1418,232,1.5459663444750427,0.01,37120,1.699,0.015083003789186478,2.3073999999999995,193.77144,0.0001,2.3073999999999995,12.79943375184591,9029,51.99475701970571
27,1398,236,1.5613530361028254,0.01,37760,1.699,0.04671202227473259,,,0.0001,,,9189,
27,1373,240,1.559176952660578,0.01,38400,1.699,0.01232987642288208,2.3336000000000006,199.09224,0.0001,2.3336000000000006,12.729465350596634,9349,51.489167327172424
28,1346,244,1.4707995033657795,0.01,39040,1.699,0.30394649505615234,2.3080999999999996,194.28011999999998,0.0001,2.3080999999999996,12.823353686307607,9509,51.98432399538209
29,1350,248,1.5060953261084669,0.01,39680,1.699,0.042512357234954834,,,0.0001,,,9669,
29,1355,252,1.2597509426879074,0.01,40320,1.699,0.05034853518009186,2.2653000000000003,186.95915999999997,0.0001,2.2653000000000003,13.045828800091249,9829,52.64314037316237
30,1361,256,1.6053112937513045,0.01,40960,1.699,0.3046261668205261,,,0.0001,,,9989,
30,1370,260,1.5030795904244039,0.01,41600,1.699,0.010323039256036282,2.3255,197.4762,0.0001,2.3255,12.753754125978757,10149,51.71678419561074
30,1381,264,1.4452185688626502,0.01,42240,1.699,0.32026293873786926,2.333,199.11959999999996,0.0001,2.333,12.751327403058871,10309,51.47000579972084
30,1392,268,1.5247993587259598,0.01,42880,1.699,0.006647700443863869,,,0.0001,,,10469,
30,1403,272,1.554450239438375,0.01,43520,1.699,0.010690916329622269,2.3266,197.33616,0.0001,2.3266,12.72211351341,10629,51.64235045059006
31,1415,276,1.5744177811181046,0.01,44160,1.699,0.010800810530781746,2.3106999999999998,194.58971999999997,0.0001,2.3106999999999998,12.803687804224113,10789,51.897956595597876
31,1425,280,1.4075715461153353,0.01,44800,1.699,0.5900027751922607,,,0.0001,,,10949,
31,1435,284,1.3657709869781849,0.01,45440,1.699,0.29641953110694885,2.3438999999999997,200.0322,0.0001,2.3438999999999997,12.60322630105917,11109,51.332528676493425
31,1445,288,1.5990200039534619,0.01,46080,1.699,0.0605364665389061,2.3602999999999996,203.19804000000002,0.0001,2.3602999999999996,12.554833881006559,11269,51.046486494336
32,1455,292,1.4692212500038795,0.01,46720,1.699,0.010484841652214527,,,0.0001,,,11429,
32,1465,296,1.6010852383275196,0.01,47360,1.699,0.01352314930409193,2.3731,205.40052000000003,0.0001,2.3731,12.482301700704081,11589,50.770969178389954
32,1474,300,1.3595452815907145,0.01,48000,1.699,0.025558073073625565,2.2946,193.03704,0.0001,2.2946,12.998728645226686,11749,52.23439771468401
32,1484,304,1.5353361452407919,0.01,48640,1.699,0.5981465578079224,,,0.0001,,,11909,
33,1493,308,1.3822236584025995,0.01,49280,1.699,0.02684568427503109,2.3353999999999995,199.53216,0.0001,2.3353999999999995,12.73969926192069,12069,51.486253848658755
33,1500,312,1.495058645132388,0.01,49920,1.699,0.6180384755134583,,,0.0001,,,12229,
33,1506,316,1.5622448634725936,0.01,50560,1.699,0.31359007954597473,2.3295,198.02484,0.0001,2.3295,12.723522973481995,12389,51.516876004144
33,1512,320,1.5756242367217244,0.01,51200,1.699,0.3115200996398926,2.3426,200.36159999999998,0.0001,2.3426,12.669025891735437,12549,51.36223817914148
34,1518,324,1.4938253298272728,0.01,51840,1.699,0.6001914739608765,,,0.0001,,,12709,
34,1525,328,1.5836104360572727,0.01,52480,1.699,0.3076363503932953,2.2792,190.05912,0.0001,2.2792,13.05545314751485,12869,52.52542511512784
34,1530,332,1.577710816118318,0.01,53120,1.699,0.024031300097703934,2.2612999999999994,187.29756,0.0001,2.2612999999999994,13.212760884634514,13029,53.10332353564686
34,1537,336,1.5118224662018065,0.01,53760,1.699,0.010887829586863518,,,0.0001,,,13189,
35,1544,340,1.457550916109559,0.01,54400,1.699,0.011089034378528595,2.2785999999999995,189.83664,0.0001,2.2785999999999995,13.057360847985361,13349,52.62212135243199
35,1551,344,1.4269728637620955,0.01,55040,1.699,0.3046543002128601,2.3318999999999996,198.85572000000002,0.0001,2.3318999999999996,12.754006355777713,13509,51.56295991878566
35,1556,348,1.5185384606729357,0.01,55680,1.699,0.013414113782346249,,,0.0001,,,13669,
37,1507,352,1.6014174041554898,0.01,56320,1.699,0.012069733813405037,2.2333999999999996,182.25431999999995,0.0001,2.2333999999999996,13.297347501792478,13829,53.456539466499535
37,1509,356,1.4767085475846227,0.01,56960,1.699,0.011872677132487297,,,0.0001,,,13989,
38,1514,360,1.6124186392187363,0.01,57600,1.699,0.025699160993099213,2.2432,183.76056,0.0001,2.2432,13.22402686452497,14149,53.11592789453717
38,1522,364,1.5889500584800667,0.01,58240,1.699,0.028732985258102417,2.2716999999999996,187.87787999999998,0.0001,2.2716999999999996,13.011003432886891,14309,52.724918914599094
38,1530,368,1.6239839401901872,0.01,58880,1.699,0.023486150428652763,,,0.0001,,,14469,
38,1538,372,1.5580022272922105,0.01,59520,1.699,0.29768940806388855,2.288299999999999,190.47636,0.0001,2.288299999999999,12.901277898907201,14629,52.48490265105707
38,1546,376,1.6155220867337323,0.01,60160,1.699,0.024909574538469315,2.3182,196.2972,0.0001,2.3182,12.79090197923627,14789,51.73935501411394
39,1554,380,1.3591907682937647,0.01,60800,1.699,0.3040907084941864,,,0.0001,,,14949,
39,1560,384,1.439967612688893,0.01,61440,1.699,0.2248886227607727,2.287,191.47320000000002,0.0001,2.287,13.044305423464928,15109,52.42605928810347
39,1567,388,1.40518901539975,0.01,62080,1.699,0.022575195878744125,2.3334,199.21608,0.0001,2.3334,12.745290802100058,15269,51.540866257855086
39,1573,392,1.568457566911437,0.01,62720,1.699,0.3041283190250397,,,0.0001,,,15429,
40,1578,396,1.6186646605077044,0.01,63360,1.699,0.023400289937853813,2.3062999999999994,193.72139999999996,0.0001,2.3062999999999994,12.8187675194328,15589,52.037359045216604
40,1584,400,1.3098837732179243,0.01,64000,1.699,0.021342633292078972,2.3001,193.1778,0.0001,2.3001,12.886952191925916,15749,52.09294244417496
40,1590,404,1.5444043429983116,0.01,64640,1.699,0.5884178876876831,,,0.0001,,,15909,
40,1596,408,1.6265147265739694,0.01,65280,1.699,0.014818912371993065,2.2834999999999996,189.90828,0.0001,2.2834999999999996,12.94121891455428,16069,52.44219326061224
41,1603,412,1.4669529295123045,0.01,65920,1.699,0.012274956330657005,,,0.0001,,,16229,
41,1610,416,1.5613023499595422,0.01,66560,1.699,0.29053378105163574,2.2889,191.08116,0.0001,2.2889,12.934597819167955,16389,52.2750532125201
41,1616,420,1.6522031509777566,0.01,67200,1.699,0.24262326955795288,2.3360999999999996,198.62171999999998,0.0001,2.3360999999999996,12.653462450101552,16549,51.65781168832063
41,1622,424,1.3624565169484724,0.01,67840,1.699,0.019693173468112946,,,0.0001,,,16709,
42,1629,428,1.605999184921049,0.01,68480,1.699,0.29081007838249207,2.2444,183.294,0.0001,2.2444,13.156874914947993,16869,53.12067767440289
42,1633,432,1.6360571510292923,0.01,69120,1.699,0.02346218004822731,2.2995,192.47003999999998,0.0001,2.2995,12.864043880790222,17029,52.39348136900697
42,1632,436,1.6467226094089864,0.01,69760,1.699,0.02513032779097557,,,0.0001,,,17189,
