timestep,aqi,fan_speed
6330,3.0,0.0
6340,3.0,0.0
6350,3.0,0.0
6360,3.0,0.0
6370,3.0,0.0
6380,3.0,0.0
6390,3.0,0.0
6400,3.0,0.1
6410,3.0,0.3
6420,3.0,0.2
6430,3.0,2.7755576e-17
6440,3.0,0.1
6450,3.0,0.0
6460,3.0,0.0
6470,3.0,0.2
6480,3.0,0.0
6490,3.0,0.0
6500,3.0,0.0
6510,3.0,0.0
6520,3.0,0.0
6530,3.0,0.0
6540,3.0,0.0
6550,3.0,0.1
6560,3.0,0.1
6570,3.0,0.0
6580,2.0,0.1
6590,3.0,0.0
6600,3.0,0.0
6610,3.0,0.0
6620,3.0,0.0
6630,2.0,0.0
6640,3.0,0.0
6650,3.0,0.0
6660,3.0,0.1
6670,3.0,0.3
6680,2.0,0.4
6690,2.0,0.1
6700,2.0,2.7755576e-17
6710,2.0,0.0
6720,3.0,0.0
6730,3.0,0.1
6740,2.0,0.0
6750,2.0,0.0
6760,3.0,0.0
6770,2.0,0.0
6780,2.0,0.1
6790,2.0,0.1
6800,2.0,0.2
6810,2.0,2.7755576e-17
6820,2.0,0.0
6830,2.0,0.0
6840,2.0,0.0
6850,2.0,0.0
6860,2.0,0.0
6870,2.0,0.0
6880,2.0,0.0
6890,2.0,0.0
6900,3.0,0.0
6910,3.0,0.0
6920,3.0,0.1
6930,3.0,0.3
6940,2.0,0.0
6950,2.0,0.0
6960,2.0,0.0
6970,2.0,0.1
6980,2.0,0.1
6990,2.0,0.0
7000,2.0,0.1
7010,2.0,0.1
7020,2.0,0.1
7030,2.0,0.0
7040,2.0,0.1
7050,2.0,0.1
7060,2.0,0.0
7070,2.0,0.1
7080,2.0,0.0
7090,2.0,0.0
7100,2.0,0.2
7110,2.0,0.3
7120,2.0,0.1
7130,2.0,2.7755576e-17
7140,2.0,0.3
7150,3.0,0.2
7160,3.0,0.0
7170,3.0,0.2
7180,3.0,0.1
7190,3.0,0.0
7200,3.0,0.0
7210,3.0,0.2
7220,3.0,0.1
7230,3.0,0.0
7240,3.0,0.1
7250,2.0,0.0
7260,2.0,0.0
7270,2.0,0.0
7280,2.0,0.0
7290,2.0,0.0
7300,2.0,0.0
7310,2.0,0.1
7320,2.0,0.0
7330,2.0,0.0
7340,2.0,0.0
7350,2.0,0.0
7360,2.0,0.0
7370,2.0,0.1
7380,2.0,0.1
7390,2.0,0.0
7400,2.0,0.0
7410,2.0,0.0
7420,3.0,0.0
7430,2.0,0.0
7440,2.0,0.1
7450,2.0,0.0
7460,1.0,0.0
7470,2.0,0.0
7480,2.0,0.0
